Estimation_point,Date,Year,Road_Segment_Type,Lat,Long,Proj Lat,Proj Long,Region,Day Volume,AADT,AAWDT,Tom Tom Day,Tom Tom AADT,Tom Tom AAWDT,Pen Rate Day,Pen Rate AADT,Pen Rate AAWDT,Road Class,Road Class FID,Speed,Speed Limit FID,Lanes,Lane Number FID,descriptio,Aggregate,CensusDivision,Population2021,PopPerSqKm2021,Employment_rate,Employment_Count,Removed?,Note
1182163,5/1/2024,2024,Midblock,53.459818,-113.448121,5925343.041,36652.9556,SE,7230.0,6332.085331,6636.038915,1182.0,1107.382514,1153.461832,16.35%,17.49%,17.38%,Collector,19995,40,10932,4,9623,Parks and Services,Others,Division No. 11,745,3151.4,62.4,545.0,0,
1182165,5/1/2024,2024,Midblock,53.44764,-113.403603,5924011.654,39620.9147,SE,3378.0,2958.476383,3100.489551,539.0,520.3661202,518.519084,15.96%,17.59%,16.72%,Collector,11139,40,2227,4,2302,Parks and Services,Others,Division No. 11,921,3528.7,56.3,630.0,0,
1182169,5/1/2024,2024,Midblock,53.445694,-113.450113,5923770.27,36532.7772,SE,4024.0,3524.24777,3693.419169,496.0,476.6256831,492.0763359,12.33%,13.52%,13.32%,Collector,11630,30,8812,4,11137,Parks and Services,Others,Division No. 11,850,2824.9,53.2,620.0,0,
1182215,5/1/2024,2024,Midblock,53.44534,-113.448395,5923731.757,36647.2194,SE,3923.0,3435.791252,3600.716551,546.0,508.5218579,529.9122137,13.92%,14.80%,14.72%,Collector,3406,30,8812,4,9830,Small Scale Residential,Residential,Division No. 11,850,2824.9,53.2,620.0,0,
1182217,5/1/2024,2024,Midblock,53.44548,-113.425775,5923759.197,38149.8944,SE,5735.0,5022.753717,5263.856595,967.0,964.0901639,956.0954198,16.86%,19.19%,18.16%,Collector,11332,30,4984,4,11135,Small Scale Residential,Residential,Division No. 11,927,3666.9,34.1,690.0,0,
1182218,5/1/2024,2024,Midblock,53.454574,-113.454382,5924756.277,36241.6008,SE,1223.0,1071.112083,1122.527745,146.0,122.7431694,127.8969466,11.94%,11.46%,11.39%,Collector,9470,30,1142,2,938,Small Scale Residential,Residential,Division No. 11,647,3419.7,48.1,645.0,0,
1182219,5/1/2024,2024,Midblock,53.460701,-113.440794,5925445.094,37138.8021,SE,1354.0,1185.842813,1242.765794,137.0,133.8415301,140.110687,10.12%,11.29%,11.27%,Collector,5088,30,5060,2,3824,Parks and Services,Others,Division No. 11,745,3151.4,62.4,545.0,0,
1182226,5/1/2024,2024,Midblock,53.463437,-113.458287,5925740.595,35974.7288,SE,1760.0,1541.420496,1615.411963,190.0,216.5081967,218.6564885,10.80%,14.05%,13.54%,Collector,11732,30,966,2,1444,Parks and Services,Others,Division No. 11,841,2500.0,53.1,650.0,0,
1182228,5/1/2024,2024,Midblock,53.471716,-113.444646,5926668.87,36873.4329,SE,1927.0,1687.680281,1768.69253,265.0,225.3142077,230.5229008,13.75%,13.35%,13.03%,Collector,5082,30,14854,2,449,Small Scale Residential,Residential,Division No. 11,760,3944.0,56.1,570.0,0,
1182231,5/1/2024,2024,Midblock,53.483521,-113.418192,5927996.566,38619.1421,SE,29392.0,25741.72228,26977.37978,5880.0,5654.032787,5874.965649,20.01%,21.96%,21.78%,Minor Arterial,9421,60,1558,2,31656,Parks and Services,Others,Division No. 11,555,342.0,56.8,405.0,0,
1182236,5/1/2024,2024,Midblock,53.424909,-113.466451,5921449.031,35464.641,SE,27709.0,24267.73893,25432.64209,6238.0,6217.655738,6168.232824,22.51%,25.62%,24.25%,Minor Arterial,28389,60,8314,2,17290,Small Scale Flex Residential,Residential,Division No. 11,3528,2533.6,66.2,2725.0,0,
1182240,5/1/2024,2024,Midblock,53.473765,-113.42959,5926904.78,37871.2614,SE,3442.0,3014.528037,3159.231805,510.0,452.7896175,477.1564885,14.82%,15.02%,15.10%,Collector,3536,30,6031,4,13486,Small Scale Residential,Residential,Division No. 11,951,2851.6,54.0,750.0,0,
1182242,5/1/2024,2024,Midblock,53.476629,-113.424831,5927226.031,38184.6518,SE,1486.0,1301.44935,1363.921691,244.0,224.5846995,231.1526718,16.42%,17.26%,16.95%,Collector,3626,30,7335,2,19753,Small Scale Residential,Residential,Division No. 11,485,3065.7,63.8,400.0,0,
1182239,5/1/2024,2024,Midblock,53.424848,-113.498364,5921426.853,33343.4694,SW,29081.0,25417.6587,26946.70883,6845.5,6518.364754,6540.824427,23.54%,25.65%,24.27%,Minor Arterial,29135,60,13468,2,16919,River Valley,Others,Division No. 11,3920,1055.8,68.1,2975.0,0,
1182892,5/2/2024,2024,Midblock,53.606621,-113.476971,5941665.395,34616.968,NE,1579.0,1394.526525,1445.02041,207.0,193.4590164,199.7480916,13.11%,13.87%,13.82%,Local,12674,30,6281,2,21507,Parks and Services,Others,Division No. 11,460,1621.4,45.8,360.0,0,
1182894,5/2/2024,2024,Midblock,53.609883,-113.431938,5942051.251,37594.5774,NE,761.0,672.0928975,696.428456,66.0,46.98907104,55.29389313,8.67%,6.99%,7.94%,Local,4623,30,8172,2,24678,Parks and Services,Others,Division No. 11,314,2597.2,47.6,315.0,0,
1182904,5/2/2024,2024,Midblock,53.605329,-113.437334,5941541.623,37241.4777,NE,2039.0,1800.785043,1865.988991,186.0,157.7622951,170.8664122,9.12%,8.76%,9.16%,Collector,2348,30,12069,2,25554,Small Scale Residential,Residential,Division No. 11,566,2752.9,59.6,520.0,0,
1182907,5/2/2024,2024,Midblock,53.586146,-113.406664,5939423.336,39289.2221,NE,7828.0,6913.460186,7163.787061,1136.0,1021.513661,1028.183206,14.51%,14.78%,14.35%,Collector,5511,30,7683,2,29570,Parks and Services,Others,Division No. 11,690,2636.6,43.9,490.0,0,
1183203,5/2/2024,2024,Midblock,53.609847,-113.449088,5942038.323,36459.6249,NE,2483.0,2192.912831,2272.315186,303.0,265.1639344,276.9236641,12.20%,12.09%,12.19%,Collector,50247,30,6497,2,30806,Parks and Services,Others,Division No. 11,649,1848.5,59.6,495.0,0,
1183206,5/2/2024,2024,Midblock,53.576147,-113.424577,5938300.867,38112.0731,NE,1525.0,1346.835307,1395.602359,106.0,98.56830601,102.7938931,6.95%,7.32%,7.37%,Collector,4300,30,5969,2,12143,Parks and Services,Others,Division No. 11,502,2345.8,54.2,415.0,0,
1183222,5/2/2024,2024,Midblock,53.605019,-113.377839,5941539.899,41179.5634,NE,1341.0,1184.3319,1227.214927,98.0,108.9371585,108.5610687,7.31%,9.20%,8.85%,Collector,4454,40,1190,2,6848,Parks and Services,Others,Division No. 11,370,3464.4,40.4,285.0,0,
1183231,5/2/2024,2024,Midblock,53.620195,-113.430711,5943199.472,37666.6003,NE,4433.0,3915.095683,4056.855907,716.0,597.489071,599.5801527,16.15%,15.26%,14.78%,Collector,10056,30,6248,3,25361,Site Specific Development Control Provision,Direct Control Provisions,Division No. 11,335,1833.6,42.4,295.0,0,
1183241,5/2/2024,2024,Midblock,53.631258,-113.442844,5944424.268,36854.197,NE,19842.0,17523.87289,18158.38821,3614.0,3427.601093,3430.942748,18.21%,19.56%,18.89%,Minor Arterial,31149,60,1026,3,30428,Medium Scale Residential,Residential,Division No. 11,2195,4371.6,71.0,1570.0,0,
1182854,5/2/2024,2024,Midblock,53.547,-113.56574,5934990.961,28782.2436,NW,17816.0,16286.65603,16749.56807,3567.0,3341.038251,3471.984733,20.02%,20.51%,20.73%,Minor Arterial,23234,50,2539,4,16098,Small Scale Residential,Residential,Division No. 11,499,3156.2,65.9,425.0,0,
1182881,5/2/2024,2024,Midblock,53.556945,-113.615342,5936078.791,25488.7198,NW,33578.0,30695.62956,31568.08468,6738.0,6198.834699,6472.064885,20.07%,20.19%,20.50%,Minor Arterial,29006,60,14654,3,24023,Business Employment,Commercial,Division No. 11,141,14.9,,,0,
1182886,5/2/2024,2024,Midblock,53.515841,-113.596704,5931511.388,26749.6245,NW,18999.0,17368.10608,17861.75594,3685.0,3212.26776,3362.877863,19.40%,18.50%,18.83%,Minor Arterial,5950,60,14852,4,23126,Small Scale Residential,Residential,Division No. 11,582,2208.7,68.6,510.0,0,
1182888,5/2/2024,2024,Midblock,53.515455,-113.609479,5931463.713,25902.5297,NW,685.0,626.1988876,643.9972007,59.0,40.38251366,46.79770992,8.61%,6.45%,7.27%,Collector,4429,40,8354,2,8439,Small Scale Residential,Residential,Division No. 11,704,2156.2,54.2,590.0,0,
1185304,5/7/2024,2024,Midblock,53.607434,-113.442827,5941773.018,36876.0792,NE,22483.0,20752.11016,21503.51549,3651.0,3515.95082,3587.851145,16.24%,16.94%,16.68%,Minor Arterial,5356,60,2410,2,32275,Parks and Services,Others,Division No. 11,649,1848.5,59.6,495.0,0,
1185316,5/7/2024,2024,Midblock,53.582402,-113.421087,5938998.824,38337.5648,NE,49403.0,45599.63074,47250.73059,8877.0,8583.920765,9016.896947,17.97%,18.82%,19.08%,Major Arterial,19782,80,8018,4,32852,Small Scale Residential,Residential,Division No. 11,497,2257.0,47.0,415.0,0,
1185318,5/7/2024,2024,Midblock,53.582431,-113.458795,5938982.409,35840.4124,NE,66162.0,61068.41223,63279.61535,14415.0,13954.79235,14425.53053,21.79%,22.85%,22.80%,Major Arterial,6246,70,4731,3,22809,Medium Industrial,Industrial,Division No. 11,574,856.5,54.7,475.0,0,
1185299,5/7/2024,2024,Midblock,53.548293,-113.42827,5935199.19,37892.3611,SE,548.0,496.7479837,520.592945,64.0,50.93715847,53.71374046,11.68%,10.25%,10.32%,Local,22859,30,2198,2,19319,Parks and Services,Others,Division No. 11,446,2201.4,40.6,345.0,0,
1185301,5/7/2024,2024,Midblock,53.548221,-113.431292,5935189.574,37692.1389,SE,2236.0,2026.876809,2124.171214,356.0,347.7786885,370.278626,15.92%,17.16%,17.43%,Collector,22860,30,5090,2,13106,Small Scale Residential,Residential,Division No. 11,528,1722.1,55.8,475.0,0,
1185323,5/9/2024,2024,Midblock,53.511467,-113.57224,5931034.094,28375.1743,NW,115976.0,106020.4995,109033.8969,27029.0,25403.37705,25855.35115,23.31%,23.96%,23.71%,Major Arterial,26657,80,10544,5,33044,River Valley,Others,Division No. 11,356,996.1,60.0,250.0,0,
1185341,5/9/2024,2024,Midblock,53.512143,-113.622526,5931090.477,25039.1026,NW,43180.0,39473.38389,40595.32719,9750.0,9166.898907,9501.438931,22.58%,23.22%,23.41%,Major Arterial,19446,80,10544,2,12192,Small-Medium Scale Transition Residential,Residential,Division No. 11,536,1003.6,60.9,435.0,0,
1185344,5/9/2024,2024,Midblock,53.481061,-113.478405,5927691.879,34624.3718,SE,98238.0,85175.97754,89264.60589,22300.0,20445.43989,21251.99618,22.70%,24.00%,23.81%,Major Arterial,5174,80,10544,3,8585,Business Employment,Commercial,Division No. 11,52,7.8,,,0,
1185322,5/9/2024,2024,Midblock,53.496396,-113.571962,5929357.048,28403.6877,SW,99713.0,85812.18574,90974.38952,22468.0,21008.75683,21456.94656,22.53%,24.48%,23.59%,Major Arterial,20448,80,10544,3,12338,Small Scale Residential,Residential,Division No. 11,941,564.0,66.7,765.0,0,
1185328,5/9/2024,2024,Midblock,53.483093,-113.529278,5927894.504,31245.8649,SW,84155.0,72423.09921,76779.85569,19028.0,18054.88798,18347.96947,22.61%,24.93%,23.90%,Major Arterial,6514,80,10544,3,12270,Parks and Services,Others,Division No. 11,677,2585.9,52.7,550.0,0,
1185336,5/9/2024,2024,Midblock,53.482581,-113.551919,5927827.843,29743.3544,SW,86878.0,74766.49056,79264.21844,19173.5,18064.98087,18399.0916,22.07%,24.16%,23.21%,Major Arterial,3795,80,10544,2,12769,River Valley,Others,Division No. 11,847,661.6,56.3,800.0,0,
1191006,5/14/2024,2024,Midblock,53.522632,-113.467433,5932323.417,35318.138,Downtown,5727.0,5285.99667,5512.670787,931.0,850.3879781,863.6564885,16.26%,16.09%,15.67%,Collector,29266,30,5380,3,29609,Parks and Services,Others,Division No. 11,917,3750.5,62.8,725.0,0,
1190989,5/14/2024,2024,Midblock,53.606114,-113.48382,5941605.664,34164.0759,NE,6670.0,6156.499343,6379.417708,945.0,915.2076503,949.5610687,14.17%,14.87%,14.88%,Collector,9893,50,7890,2,25842,Neighbourhood Mixed Use,Others,Division No. 11,465,1764.7,30.4,230.0,0,
1190990,5/14/2024,2024,Midblock,53.606115,-113.47517,5941609.962,34736.5824,NE,6416.0,5922.053941,6136.483361,891.0,871.9590164,909.9751908,13.89%,14.72%,14.83%,Collector,50406,50,2726,2,25835,Parks and Services,Others,Division No. 11,722,9613.8,44.8,580.0,0,
1190992,5/14/2024,2024,Midblock,53.606927,-113.461747,5941706.96,35624.3109,NE,6769.0,6247.87767,6474.104718,950.0,892.3278689,934.7671756,14.03%,14.28%,14.44%,Collector,4224,50,14873,2,31087,Small Scale Residential,Residential,Division No. 11,647,2930.3,45.6,515.0,0,
1190995,5/14/2024,2024,Midblock,53.606913,-113.456465,5941708.059,35973.9092,NE,6216.0,5737.451262,5945.196473,812.0,794.0491803,832.480916,13.06%,13.84%,14.00%,Collector,20706,50,992,2,30908,Parks and Services,Others,Division No. 11,647,2930.3,45.6,515.0,0,
1190999,5/14/2024,2024,Midblock,53.605261,-113.448126,5941528.463,36527.2471,NE,6585.0,6078.043205,6298.120781,798.0,764.557377,800.4160305,12.12%,12.58%,12.71%,Collector,8749,50,155,2,28352,Parks and Services,Others,Division No. 11,456,1272.7,55.7,395.0,0,
1191002,5/14/2024,2024,Midblock,53.604984,-113.434782,5941504.568,37410.6916,NE,4096.0,3780.662865,3917.555462,579.0,494.0437158,508.1450382,14.14%,13.07%,12.97%,Collector,9559,30,2590,2,22044,Parks and Services,Others,Division No. 11,530,3076.0,56.6,415.0,0,
1191008,5/14/2024,2024,Midblock,53.635273,-113.479743,5944852.601,34410.1924,NE,6115.0,5644.226909,5848.596595,901.0,918.3797814,913.6946565,14.73%,16.27%,15.62%,Collector,24258,40,1440,4,33220,Parks and Services,Others,Division No. 11,625,2347.0,56.4,550.0,0,
1193606,5/14/2024,2024,Midblock,53.605741,-113.479586,5941566.196,34444.6102,NE,6142.0,5669.148271,5874.420325,816.0,800.2513661,831.8969466,13.29%,14.12%,14.16%,Collector,21456,50,10626,2,25836,Parks and Services,Others,Division No. 11,465,1764.7,30.4,230.0,0,
1199193,5/14/2024,2024,Midblock,53.497039,-113.467223,5929475.447,35353.3566,SE,21508.0,19496.45188,20432.3231,4151.5,3718.296448,3907.020992,19.30%,19.07%,19.12%,Minor Arterial,23221,60,2926,2,18333,Business Employment,Commercial,Division No. 11,5,2.4,,,0,
1189766,5/15/2024,2024,Midblock,53.513522,-113.519961,5931284.87,31841.504,SW,939.0,820.7139205,870.0856089,122.0,109.6174863,112.3358779,12.99%,13.36%,12.91%,Local,1924,40,3571,2,21049,Small Scale Residential,Residential,Division No. 11,606,3074.6,56.7,600.0,0,
