filename,cluster
1003025.png,0
1003060.png,1
1004743.png,0
1004752.png,0
1004854.png,0
1004859.png,2
1004889.png,0
100492.png,2
100498.png,2
1005245.png,0
1005247.png,0
1005262.png,2
1005286.png,0
1005409.png,2
1005424.png,0
1005428.png,2
1005430.png,0
1005431.png,2
1005585.png,0
1005629.png,1
1005691.png,1
1006019.png,0
1006022.png,0
1006205.png,2
1007611.png,2
1007623.png,2
100768.png,2
1011488.png,0
1011516.png,0
1011525.png,0
101186.png,2
101190.png,2
1012508.png,0
1012514.png,0
1012607.png,0
101262.png,2
1012624.png,0
1012625.png,0
1012645.png,2
1012647.png,0
1012652.png,2
1012659.png,1
101266.png,2
1012666.png,2
1012785.png,0
101290.png,2
101294.png,2
1013129.png,2
1013447.png,0
1013450.png,0
1013660.png,1
1013704.png,1
1013706.png,1
1013770.png,1
1016346.png,2
1016360.png,2
1016366.png,2
1016370.png,2
1016396.png,0
1016615.png,0
1016640.png,0
1016644.png,0
1016651.png,0
1016676.png,0
1016687.png,1
1016810.png,1
1016816.png,0
1017472.png,1
1017474.png,1
101792.png,2
1019376.png,2
1019408.png,2
1019480.png,2
1019484.png,0
1019530.png,2
1023782.png,0
1023786.png,2
1025814.png,0
1025818.png,0
1026241.png,0
102648.png,2
102766.png,0
102786.png,2
102790.png,0
102806.png,2
102972.png,2
102976.png,2
102992.png,2
102996.png,2
104342.png,2
104346.png,2
104526.png,2
105066.png,0
105086.png,2
105116.png,0
105120.png,0
105332.png,0
105336.png,0
105400.png,0
105404.png,2
1060213.png,1
1060214.png,1
1060218.png,2
1060220.png,2
1061528.png,1
1063548.png,1
1063554.png,1
1063576.png,1
1072185.png,1
1072192.png,1
1072199.png,2
1072212.png,1
1072217.png,1
1072734.png,0
1072739.png,0
1072851.png,0
1073553.png,0
1073858.png,0
1073898.png,1
1077852.png,1
1091028.png,1
1091636.png,1
1091640.png,1
1091664.png,1
1094455.png,1
1094463.png,1
1095325.png,1
1095337.png,1
1097536.png,0
1099109.png,0
1099111.png,0
1099113.png,0
1099116.png,0
1099120.png,0
1101137.png,0
110397.png,0
110401.png,0
110403.png,0
110473.png,0
1105278.png,0
110631.png,0
110713.png,2
110715.png,0
110717.png,0
110719.png,2
110745.png,2
1108360.png,0
111009.png,0
111021.png,0
111127.png,0
1113318.png,0
111405.png,0
1114474.png,0
1114507.png,0
111521.png,2
111525.png,2
111527.png,0
111687.png,2
111689.png,2
111747.png,2
111781.png,2
111783.png,2
111823.png,2
111827.png,2
111829.png,2
111873.png,2
111951.png,2
1119767.png,0
112081.png,1
1120986.png,0
1121502.png,0
1121507.png,0
112259.png,2
112275.png,2
112277.png,2
